actual,predicted,error,abs_error
1294030.3099999994,623135.5655859011,670894.7444140982,670894.7444140982
1368273.030000001,698152.2284959117,670120.8015040893,670120.8015040893
959263.7600000004,291825.8755282451,667437.8844717552,667437.8844717552
1285959.5200000007,619474.0123601396,666485.5076398611,666485.5076398611
1496900.000000001,830520.087039817,666379.9129601839,666379.9129601839
1311031.0000000007,644976.4878258979,666054.5121741028,666054.5121741028
1175569.2499999995,510145.4211591682,665423.8288408313,665423.8288408313
1054158.3899999992,389109.75025648857,665048.6397435106,665048.6397435106
2223260.5600000015,1560623.2742878783,662637.2857121232,662637.2857121232
1304022.620000001,646854.894131704,657167.725868297,657167.725868297
749463.5500000006,93042.06151147731,656421.4884885233,656421.4884885233
1322634.120000001,667628.7573564491,655005.3626435519,655005.3626435519
1430047.6599999995,779366.0538202084,650681.606179791,650681.606179791
941122.77,290889.67454769934,650233.0954523007,650233.0954523007
1308033.1299999992,659577.0628520589,648456.0671479403,648456.0671479403
1398000.989999999,750291.800988199,647709.1890118001,647709.1890118001
742316.1200000001,96747.0178893723,645569.1021106278,645569.1021106278
1479765.1199999994,835504.3681564145,644260.7518435849,644260.7518435849
1155682.019999999,512406.40853122,643275.6114687792,643275.6114687792
1002287.2699999997,360181.186638931,642106.0833610687,642106.0833610687
787259.1699999995,145293.9573861908,641965.2126138087,641965.2126138087
1168526.2699999998,529726.7655786219,638799.5044213779,638799.5044213779
975717.85,336921.1864238979,638796.6635761021,638796.6635761021
851667.87,213473.78809552483,638194.0819044751,638194.0819044751
1224659.5399999996,588310.6805823979,636348.8594176017,636348.8594176017
795723.3100000002,159701.17966186983,636022.1303381303,636022.1303381303
457360.19999999984,1093130.0656326823,-635769.8656326825,635769.8656326825
1843660.8299999987,1209819.5166778655,633841.3133221332,633841.3133221332
217581.33000000002,849371.5995108898,-631790.2695108899,631790.2695108899
1292278.56,663240.3436296107,629038.2163703893,629038.2163703893
980347.6699999995,351557.4817582144,628790.188241785,628790.188241785
1045884.2499999992,420478.83372080437,625405.4162791949,625405.4162791949
